building_age,office_ratio,floor_efficiency,value_per_sqft,land_value_ratio,lotarea,bldgarea,officearea,numfloors,assessland,assesstot,yearbuilt,transaction_count,deed_count,mortgage_count,mta_accessibility_proxy,business_density_proxy,construction_activity_proxy,commercial_ratio,distress_score,target_high_vacancy_risk,BBL,borough_code,borough,latitude,longitude
50.0,0.5921052631578947,1520.0,119.90131578947368,0.1530864197530864,5045.0,1520.0,900.0,1.0,27900.0,182250.0,1975.0,0.0,,,,,0.9648701416451752,0.5921052631578947,0.0,0,41174000100,4,Queens,40.75303570765056,-73.79322782660134
62.0,1.0,4558.0,84.01711276875822,0.1950646298472385,11040.0,4558.0,4558.0,1.0,74700.0,382950.0,1963.0,0.0,,,,,0.3891364969266175,1.0,0.0,0,41170700320,4,Queens,40.72128678494144,-73.79899471897862
85.0,1.0,1150.0,76.8913043478261,0.2035623409669211,2000.0,2300.0,2300.0,2.0,36000.0,176850.0,1940.0,0.0,,,,,0.3748811493607148,1.0,0.0,1,41171200260,4,Queens,40.760584426905034,-73.74534044435366
94.0,1.0,857.5,89.47521865889213,0.3577712609970674,2090.0,1715.0,1715.0,2.0,54900.0,153450.0,1931.0,0.0,,,,,0.6009627063604605,1.0,0.0,1,41172500050,4,Queens,40.8043514928204,-73.75752775142864
78.0,0.7474140004811162,8314.0,156.85590570122685,0.4886128364389234,11328.0,8314.0,6214.0,1.0,637200.0,1304100.0,1947.0,0.0,,,,,0.2543577245593674,1.0,0.0,0,40501000200,4,Queens,40.71649233126384,-73.7800061904488
43.0,0.6666666666666666,1325.0,95.66037735849056,0.1822485207100591,1925.0,3975.0,2650.0,3.0,69300.0,380250.0,1982.0,0.0,,,,,0.585303103725214,0.6666666666666666,0.0,0,40501000890,4,Queens,40.716493152152545,-73.77239221830267
10.0,0.6841297029118185,2821.833333333333,100.89185517689444,0.1304004214963119,3300.0,16931.0,11583.0,6.0,222750.0,1708200.0,2015.0,0.0,,,,,0.3272427342950609,1.0,0.0,0,40501100150,4,Queens,40.80716064077537,-73.8001179224719
27.0,0.5,3266.6666666666665,43.025510204081634,0.6072572038420491,3792.0,9800.0,4900.0,3.0,256050.0,421650.0,1998.0,0.0,,,,,0.7667231748568182,1.0,0.0,0,40494900830,4,Queens,40.76657173645765,-73.706125457538
21.0,0.6,2500.0,90.12,0.1198402130492676,3000.0,7500.0,4500.0,3.0,81000.0,675900.0,2004.0,0.0,,,,,0.9072362678097828,1.0,0.0,0,40494900250,4,Queens,40.704726280703255,-73.86885980091789
21.0,0.5454545454545454,1991.0,85.34404821697639,0.0582627118644067,1825.0,9955.0,5430.0,5.0,49500.0,849600.0,2004.0,0.0,,,,,0.6855941136569902,0.8181818181818182,0.0,0,40497000370,4,Queens,40.7553280021793,-73.7879174162892
25.0,1.0,2024.5,67.46110150654482,0.1449752883031301,2500.0,4049.0,4049.0,2.0,39600.0,273150.0,2000.0,0.0,,,,,0.010996376486989,1.0,0.0,1,40496900040,4,Queens,40.70502911535938,-73.79164876844055
42.0,1.0,1100.0,82.43181818181819,0.141439205955335,2256.0,2200.0,2200.0,2.0,25650.0,181350.0,1983.0,0.0,,,,,0.4792592002340363,1.0,0.0,0,40494601230,4,Queens,40.70491351232149,-73.75423597969677
24.0,0.6666823308270676,7093.333333333333,103.13204887218043,0.5675620258355546,23627.0,21280.0,14187.0,3.0,1245600.0,2194650.0,2001.0,0.0,,,,,0.8588236003775018,1.0,0.0,0,40497100450,4,Queens,40.740298113578305,-73.83709269387124
13.0,0.65,1666.6666666666667,99.27,0.1359927470534905,2500.0,5000.0,3250.0,3.0,67500.0,496350.0,2012.0,0.0,,,,,0.3244089884636093,1.0,0.0,0,40494900120,4,Queens,40.63253598776711,-73.88208363011982
13.0,1.0,900.0,165.5,0.9848942598187312,3831.0,900.0,900.0,1.0,146700.0,148950.0,2012.0,0.0,,,,,0.8255178144634449,1.0,0.0,0,40497701990,4,Queens,40.64195410837435,-73.78705884919509
13.0,0.7999672211751209,2440.6,113.43112349422272,0.1423927178153446,2500.0,12203.0,9762.0,5.0,197100.0,1384200.0,2012.0,0.0,,,,,0.5354237544664717,1.0,0.0,0,40497100530,4,Queens,40.70008562353795,-73.78083847538907
95.0,0.6405919661733616,3153.333333333333,164.25475687103594,0.2577468867651317,3560.0,9460.0,6060.0,3.0,400500.0,1553850.0,1930.0,0.0,,,,,0.0161308903996952,1.0,0.0,0,40497700120,4,Queens,40.67755844398328,-73.72042002952762
