feature,importance
investment_potential_score,0.20029674273505574
market_competitiveness_score,0.1559983041843717
neighborhood_vitality_index,0.08514514401029005
neighborhood_vacancy_risk,0.0822891559035098
building_quality,0.04380540140564651
office_efficiency_interaction,0.0429765134061749
construction_activity_proxy,0.0413892319814088
officearea,0.03936709360883837
yearbuilt,0.03846644455796469
building_age,0.03315386978549692
modernization_potential,0.032769375169628835
bldgarea,0.028958618459466165
office_size_advantage,0.02775024923720951
mixed_use_advantage,0.023684508580153092
office_ratio,0.022825168094970122
assesstot,0.0183059149469071
floor_efficiency,0.01737563706700301
assessland,0.0136668386921441
lotarea,0.012474507856491708
numfloors,0.009721085870106817
age_value_interaction,0.008984000159587852
economic_distress_composite,0.0074851397555737356
value_per_sqft,0.006851961177966043
land_value_ratio,0.006259093354034437
deed_count,0.0
business_density_proxy,0.0
mta_accessibility_proxy,0.0
distress_score,0.0
location_advantage,0.0
mortgage_count,0.0
transaction_count,0.0
