feature,importance
investment_potential_score,0.12684153
market_competitiveness_score,0.112272896
mixed_use_advantage,0.10974204
office_size_advantage,0.09206714
modernization_potential,0.09019053
office_efficiency_interaction,0.085328795
neighborhood_vacancy_risk,0.07713693
neighborhood_vitality_index,0.04227801
building_age,0.040898763
building_quality,0.040783286
construction_activity_proxy,0.03739923
officearea,0.02996732
office_ratio,0.024843853
floor_efficiency,0.013062987
lotarea,0.009683645
age_value_interaction,0.009673252
numfloors,0.009449949
assesstot,0.00906171
economic_distress_composite,0.008769294
assessland,0.0075896415
bldgarea,0.006753237
land_value_ratio,0.0059926114
value_per_sqft,0.005506461
yearbuilt,0.004706953
deed_count,0.0
business_density_proxy,0.0
mta_accessibility_proxy,0.0
distress_score,0.0
location_advantage,0.0
mortgage_count,0.0
transaction_count,0.0
